1565427072.522011 Temp=28.2C and Humidity=75.9%
1565427078.316307 Temp=28.2C and Humidity=75.9%
1565427079.339374 Temp=28.2C and Humidity=75.9%
1565427089.477445 Temp=28.2C and Humidity=75.9%
1565427100.338990 Temp=28.2C and Humidity=75.9%
1565427102.981516 Temp=28.2C and Humidity=75.8%
1565427108.633325 Temp=28.1C and Humidity=75.7%
1565427116.330190 Temp=28.1C and Humidity=75.7%
1565427117.038639 Temp=28.2C and Humidity=75.8%
1565427130.058056 Temp=28.2C and Humidity=75.8%
1565427132.991735 Temp=28.2C and Humidity=75.8%
1565427136.000585 Temp=28.2C and Humidity=75.8%
1565427141.370299 Temp=28.2C and Humidity=75.9%
1565427156.775780 Temp=28.2C and Humidity=75.9%
1565427157.517425 Temp=28.2C and Humidity=76.0%
1565427159.482676 Temp=28.2C and Humidity=75.9%
1565427167.566551 Temp=28.2C and Humidity=76.0%
1565427172.966260 Temp=28.2C and Humidity=75.9%
1565427175.905630 Temp=28.2C and Humidity=75.9%
1565427178.480346 Temp=28.2C and Humidity=75.9%
1565427181.288790 Temp=28.2C and Humidity=75.9%
1565427237.501706 Temp=28.2C and Humidity=75.9%
1565427243.511974 Temp=28.2C and Humidity=76.0%
1565427249.361611 Temp=28.2C and Humidity=75.3%
1565427267.836358 Temp=28.2C and Humidity=76.0%
1565427269.885610 Temp=28.2C and Humidity=76.0%
1565427276.438693 Temp=28.2C and Humidity=75.9%
1565427285.940406 Temp=28.2C and Humidity=75.9%
1565427287.461087 Temp=28.2C and Humidity=75.9%
1565427307.037060 Temp=28.2C and Humidity=75.8%
1565427308.648216 Temp=28.2C and Humidity=75.8%
1565427314.989478 Temp=28.2C and Humidity=75.8%
1565427315.642362 Temp=28.2C and Humidity=75.8%
1565427319.039788 Temp=28.2C and Humidity=75.8%
1565427321.581179 Temp=28.2C and Humidity=75.9%
1565427330.170812 Temp=28.2C and Humidity=75.9%
1565427332.900660 Temp=28.2C and Humidity=75.9%
1565427334.509836 Temp=28.2C and Humidity=75.9%
1565427335.890337 Temp=28.2C and Humidity=75.9%
1565427342.766558 Temp=28.2C and Humidity=75.9%
1565427356.326965 Temp=28.2C and Humidity=75.9%
1565427359.336460 Temp=28.2C and Humidity=75.9%
1565427365.006627 Temp=28.2C and Humidity=75.9%
1565427365.960757 Temp=28.2C and Humidity=75.9%
1565427370.125804 Temp=28.2C and Humidity=75.9%
1565427373.596607 Temp=28.2C and Humidity=75.9%
1565427381.200904 Temp=28.2C and Humidity=75.8%
1565427387.691745 Temp=28.2C and Humidity=75.8%
1565427389.599558 Temp=28.2C and Humidity=75.8%
1565427400.440267 Temp=28.2C and Humidity=75.9%
1565427402.343503 Temp=28.2C and Humidity=75.8%
1565427403.584674 Temp=28.2C and Humidity=75.8%
1565427406.301846 Temp=28.2C and Humidity=75.8%
1565427409.374950 Temp=28.2C and Humidity=76.1%
1565427423.346720 Temp=28.2C and Humidity=75.9%
1565427430.429176 Temp=28.2C and Humidity=75.9%
1565427433.838111 Temp=28.2C and Humidity=75.9%
1565427436.160721 Temp=28.2C and Humidity=75.8%
1565427459.495478 Temp=28.2C and Humidity=76.0%
1565427472.388961 Temp=28.2C and Humidity=76.0%
1565427493.249058 Temp=28.2C and Humidity=75.9%
1565427495.966544 Temp=28.2C and Humidity=75.9%
1565427498.338906 Temp=28.2C and Humidity=75.9%
1565427499.030760 Temp=28.2C and Humidity=75.9%
1565427501.797247 Temp=28.2C and Humidity=75.9%
1565427509.236467 Temp=28.2C and Humidity=75.9%
1565427520.100310 Temp=28.2C and Humidity=76.0%
1565427522.697991 Temp=28.2C and Humidity=76.0%
1565427532.820906 Temp=28.2C and Humidity=76.0%
1565427536.013663 Temp=28.2C and Humidity=76.0%
1565427538.542067 Temp=28.2C and Humidity=76.1%
1565427546.901616 Temp=28.2C and Humidity=76.1%
1565427550.693414 Temp=28.2C and Humidity=76.0%
1565427556.432825 Temp=28.2C and Humidity=76.0%
1565427559.643771 Temp=28.2C and Humidity=76.0%
1565427567.717382 Temp=28.1C and Humidity=76.8%
